datetime,player1,player2,winner
2025-08-27 21:16,yulong,yipin,yulong
2025-08-27 21:30,yulong,yipin,yulong
2025-08-27 22:00,yulong,youjia,youjia
2025-08-27 22:18,longyuan,yipin,longyuan
2025-08-27 22:40,longyuan,kevin,kevin
2025-08-28 21:26,youjia,liushu,liushu
2025-11-04 18:22,yulong,yipin,yulong
2025-11-05 18:02,wenlin,yipin,yipin
2025-11-05 18:28,yulong,yipin,yulong
2025-11-10 19:00,yulong,yipin,yipin
2025-11-10 19:01,yulong,yipin,yipin
2025-11-10 19:02,yulong,yipin,yipin
2025-11-11 23:07,yulong,yipin,yulong
2025-11-12 22:22,yulong,yipin,yulong
2025-11-12 22:22,yulong,wenlin,yulong
2025-11-12 22:22,yulong,wenlin,yulong
2025-11-12 22:45,yulong,yipin,yipin
2025-11-26 21:00,yulong,liushu,yulong
2025-11-26 21:38,yulong,liushu,liushu
2025-11-26 21:50,yipin,liushu,liushu
2025-11-26 21:50,yipin,liushu,liushu
